TIMESTAMP,CO2,TEMP,HUM
25/3/2021 15:59:59,470 ppm,19.45 C,69.26 %
25/3/2021 16:01:00,470 ppm,19.46 C,68.91 %
25/3/2021 16:02:00,470 ppm,19.48 C,68.87 %
25/3/2021 16:03:00,470 ppm,19.44 C,69.45 %
25/3/2021 16:04:00,480 ppm,19.45 C,69.94 %
25/3/2021 16:05:00,480 ppm,19.45 C,70.69 %
25/3/2021 16:06:00,520 ppm,19.52 C,70.16 %
25/3/2021 16:07:00,490 ppm,19.49 C,69.98 %
25/3/2021 16:08:00,480 ppm,19.44 C,70.05 %
25/3/2021 16:09:00,480 ppm,19.38 C,70.86 %
25/3/2021 16:10:00,470 ppm,19.39 C,70.48 %
25/3/2021 16:11:00,460 ppm,19.32 C,70.48 %
25/3/2021 16:12:00,450 ppm,19.29 C,70.87 %
25/3/2021 16:13:00,450 ppm,19.24 C,70.66 %
25/3/2021 16:14:00,440 ppm,19.18 C,70.76 %
25/3/2021 16:15:00,440 ppm,19.19 C,70.64 %
25/3/2021 16:16:00,430 ppm,19.16 C,70.39 %
25/3/2021 16:17:00,430 ppm,19.18 C,71.04 %
25/3/2021 16:18:00,440 ppm,19.19 C,70.96 %
25/3/2021 16:19:00,440 ppm,19.21 C,70.85 %
25/3/2021 16:20:00,440 ppm,19.26 C,70.76 %
25/3/2021 16:21:00,450 ppm,19.25 C,70.53 %
25/3/2021 16:22:00,450 ppm,19.26 C,70.52 %
25/3/2021 16:23:00,440 ppm,19.21 C,70.60 %
25/3/2021 16:24:00,440 ppm,19.25 C,70.46 %
25/3/2021 16:25:00,440 ppm,19.24 C,70.34 %
25/3/2021 16:26:00,440 ppm,19.19 C,70.44 %
25/3/2021 16:27:00,430 ppm,19.24 C,70.45 %
25/3/2021 16:28:00,440 ppm,19.22 C,70.37 %
25/3/2021 16:29:00,440 ppm,19.25 C,70.27 %
25/3/2021 16:30:01,440 ppm,19.26 C,70.47 %
25/3/2021 16:31:01,450 ppm,19.26 C,70.25 %
25/3/2021 16:32:01,450 ppm,19.29 C,70.53 %
25/3/2021 16:33:01,450 ppm,19.31 C,70.16 %
25/3/2021 16:34:01,450 ppm,19.29 C,70.31 %
25/3/2021 16:35:01,460 ppm,19.31 C,70.08 %
25/3/2021 16:36:01,460 ppm,19.35 C,70.36 %
25/3/2021 16:37:01,470 ppm,19.34 C,70.49 %
25/3/2021 16:38:01,470 ppm,19.35 C,70.41 %
25/3/2021 16:39:01,460 ppm,19.35 C,70.18 %
25/3/2021 16:40:01,460 ppm,19.31 C,70.22 %
25/3/2021 16:41:01,450 ppm,19.34 C,70.04 %
25/3/2021 16:42:01,450 ppm,19.28 C,70.49 %
25/3/2021 16:43:01,450 ppm,19.29 C,70.46 %
25/3/2021 16:44:01,460 ppm,19.31 C,70.35 %
25/3/2021 16:44:59,460 ppm,19.31 C,70.37 %
25/3/2021 16:45:59,470 ppm,19.34 C,70.49 %
25/3/2021 16:46:59,460 ppm,19.31 C,70.33 %
25/3/2021 16:47:59,460 ppm,19.34 C,70.29 %
25/3/2021 16:48:59,460 ppm,19.32 C,70.43 %
25/3/2021 16:49:59,460 ppm,19.29 C,70.44 %
25/3/2021 16:50:59,460 ppm,19.31 C,70.24 %
25/3/2021 16:51:59,450 ppm,19.28 C,70.40 %
25/3/2021 16:52:59,450 ppm,19.24 C,70.66 %
25/3/2021 16:53:59,440 ppm,19.26 C,70.33 %
25/3/2021 16:54:59,440 ppm,19.24 C,70.47 %
25/3/2021 16:56:01,430 ppm,19.21 C,70.50 %
25/3/2021 16:57:01,430 ppm,19.19 C,70.55 %
25/3/2021 16:58:01,440 ppm,19.22 C,70.44 %
25/3/2021 16:59:01,450 ppm,19.25 C,70.46 %
25/3/2021 16:59:59,450 ppm,19.24 C,70.29 %
25/3/2021 17:00:59,450 ppm,19.28 C,70.30 %
25/3/2021 17:01:59,460 ppm,19.28 C,70.40 %
25/3/2021 17:03:00,460 ppm,19.26 C,70.53 %
25/3/2021 17:04:00,470 ppm,19.31 C,70.66 %
25/3/2021 17:05:00,470 ppm,19.31 C,70.39 %
25/3/2021 17:06:00,480 ppm,19.32 C,70.16 %
25/3/2021 17:07:00,480 ppm,19.36 C,70.74 %
25/3/2021 17:08:00,480 ppm,19.36 C,70.46 %
25/3/2021 17:09:00,480 ppm,19.35 C,70.22 %
25/3/2021 17:10:00,480 ppm,19.42 C,70.19 %
25/3/2021 17:11:00,480 ppm,19.41 C,70.16 %
25/3/2021 17:12:00,490 ppm,19.44 C,70.13 %
25/3/2021 17:13:00,500 ppm,19.46 C,70.09 %
25/3/2021 17:14:00,490 ppm,19.39 C,69.99 %
25/3/2021 17:16:00,470 ppm,19.42 C,70.05 %
25/3/2021 17:17:00,480 ppm,19.41 C,70.12 %
25/3/2021 17:18:00,470 ppm,19.38 C,70.05 %
25/3/2021 17:19:00,470 ppm,19.41 C,70.33 %
25/3/2021 17:20:00,470 ppm,19.39 C,70.22 %
25/3/2021 17:21:00,480 ppm,19.38 C,70.30 %
25/3/2021 17:22:00,480 ppm,19.41 C,70.00 %
25/3/2021 17:23:00,490 ppm,19.45 C,70.03 %
25/3/2021 17:24:00,490 ppm,19.45 C,70.17 %
25/3/2021 17:25:00,490 ppm,19.42 C,70.20 %
